candidate,word,n,tf,idf,tf_idf
artes,asumidos,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,banca,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,banquete,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,barriales,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,ben,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,calificarse,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,cavernarias,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,coloc,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,conservara,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,construidas,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,convocaci,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,copamiento,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,creadores,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,cultores,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,deformaci,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,democratizaremos,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,depositados,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,desatara,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,desprenden,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,destacamento,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,destrucciones,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,determinada,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,dignifican,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,disciplinaria,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,discriminador,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,encabezado,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,entregadas,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,fauna,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,flora,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,fraternidad,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
